iteration,steps,episode,avg_score,best_avg_score,best_score
448,8960,5,-21.0,-21.0,-21.0
510,10200,6,-21.0,-21.0,-21.0
526,10520,7,-20.857142857142858,-20.857142857142858,-20.0
544,10880,8,-20.875,-20.857142857142858,-20.0
556,11120,9,-20.77777777777778,-20.77777777777778,-20.0
564,11280,10,-20.8,-20.77777777777778,-20.0
569,11380,11,-20.818181818181817,-20.77777777777778,-20.0
584,11680,12,-20.75,-20.75,-20.0
586,11720,13,-20.692307692307693,-20.692307692307693,-20.0
597,11940,14,-20.714285714285715,-20.692307692307693,-20.0
616,12320,15,-20.666666666666668,-20.666666666666668,-20.0
645,12900,16,-20.6875,-20.666666666666668,-20.0
647,12940,17,-20.647058823529413,-20.647058823529413,-20.0
690,13800,18,-20.666666666666668,-20.647058823529413,-20.0
711,14220,19,-20.57894736842105,-20.57894736842105,-19.0
836,16720,20,-20.45,-20.45,-18.0
897,17940,22,-20.5,-20.45,-18.0
957,19140,23,-20.52173913043478,-20.45,-18.0
959,19180,24,-20.541666666666668,-20.45,-18.0
973,19460,25,-20.56,-20.45,-18.0
975,19500,26,-20.576923076923077,-20.45,-18.0
1046,20920,27,-20.59259259259259,-20.45,-18.0
1094,21880,28,-20.607142857142858,-20.45,-18.0
1113,22260,29,-20.586206896551722,-20.45,-18.0
1130,22600,30,-20.533333333333335,-20.45,-18.0
1157,23140,31,-20.516129032258064,-20.45,-18.0
1174,23480,32,-20.5,-20.45,-18.0
1216,24320,33,-20.515151515151516,-20.45,-18.0
1229,24580,34,-20.529411764705884,-20.45,-18.0
1238,24760,35,-20.514285714285716,-20.45,-18.0
1246,24920,37,-20.513513513513512,-20.45,-18.0
1270,25400,38,-20.473684210526315,-20.45,-18.0
1364,27280,39,-20.487179487179485,-20.45,-18.0
1394,27880,40,-20.45,-20.45,-18.0
1405,28100,41,-20.463414634146343,-20.45,-18.0
1406,28120,42,-20.476190476190474,-20.45,-18.0
1453,29060,43,-20.488372093023255,-20.45,-18.0
1486,29720,44,-20.477272727272727,-20.45,-18.0
1645,32900,45,-20.488888888888887,-20.45,-18.0
1685,33700,46,-20.47826086956522,-20.45,-18.0
1701,34020,47,-20.46808510638298,-20.45,-18.0
1707,34140,48,-20.458333333333332,-20.45,-18.0
1736,34720,49,-20.448979591836736,-20.448979591836736,-18.0
1772,35440,50,-20.44,-20.44,-18.0
1779,35580,51,-20.431372549019606,-20.431372549019606,-18.0
1803,36060,52,-20.442307692307693,-20.431372549019606,-18.0
1826,36520,53,-20.452830188679247,-20.431372549019606,-18.0
1829,36580,54,-20.444444444444443,-20.431372549019606,-18.0
1836,36720,55,-20.436363636363637,-20.431372549019606,-18.0
1852,37040,56,-20.428571428571427,-20.428571428571427,-18.0
1856,37120,57,-20.403508771929825,-20.403508771929825,-18.0
1905,38100,58,-20.413793103448278,-20.403508771929825,-18.0
1917,38340,59,-20.423728813559322,-20.403508771929825,-18.0
1965,39300,60,-20.416666666666668,-20.403508771929825,-18.0
2027,40540,61,-20.40983606557377,-20.403508771929825,-18.0
2032,40640,62,-20.419354838709676,-20.403508771929825,-18.0
2036,40720,63,-20.41269841269841,-20.403508771929825,-18.0
2044,40880,64,-20.421875,-20.403508771929825,-18.0
2201,44020,65,-20.415384615384614,-20.403508771929825,-18.0
2212,44240,66,-20.40909090909091,-20.403508771929825,-18.0
2229,44580,67,-20.402985074626866,-20.402985074626866,-18.0
2233,44660,68,-20.41176470588235,-20.402985074626866,-18.0
2292,45840,69,-20.420289855072465,-20.402985074626866,-18.0
2299,45980,70,-20.428571428571427,-20.402985074626866,-18.0
2300,46000,71,-20.422535211267604,-20.402985074626866,-18.0
2316,46320,72,-20.430555555555557,-20.402985074626866,-18.0
2335,46700,73,-20.438356164383563,-20.402985074626866,-18.0
2366,47320,74,-20.445945945945947,-20.402985074626866,-18.0
2425,48500,75,-20.453333333333333,-20.402985074626866,-18.0
2428,48560,76,-20.460526315789473,-20.402985074626866,-18.0
2513,50260,77,-20.467532467532468,-20.402985074626866,-18.0
2536,50720,78,-20.474358974358974,-20.402985074626866,-18.0
2548,50960,79,-20.468354430379748,-20.402985074626866,-18.0
2566,51320,80,-20.4625,-20.402985074626866,-18.0
2572,51440,81,-20.45679012345679,-20.402985074626866,-18.0
2583,51660,82,-20.4390243902439,-20.402985074626866,-18.0
2599,51980,83,-20.44578313253012,-20.402985074626866,-18.0
2668,53360,84,-20.44047619047619,-20.402985074626866,-18.0
2729,54580,85,-20.435294117647057,-20.402985074626866,-18.0
2739,54780,86,-20.430232558139537,-20.402985074626866,-18.0
2763,55260,87,-20.436781609195403,-20.402985074626866,-18.0
2769,55380,88,-20.443181818181817,-20.402985074626866,-18.0
2803,56060,89,-20.44943820224719,-20.402985074626866,-18.0
2846,56920,90,-20.455555555555556,-20.402985074626866,-18.0
2864,57280,91,-20.45054945054945,-20.402985074626866,-18.0
2887,57740,92,-20.445652173913043,-20.402985074626866,-18.0
2902,58040,93,-20.451612903225808,-20.402985074626866,-18.0
2940,58800,94,-20.4468085106383,-20.402985074626866,-18.0
2951,59020,95,-20.442105263157895,-20.402985074626866,-18.0
3015,60300,96,-20.4375,-20.402985074626866,-18.0
