iteration,steps,episode,avg_score,best_avg_score,best_score
448,8960,13,-21.0,-21.0,-21.0
508,10160,15,-21.0,-21.0,-21.0
509,10180,16,-21.0,-21.0,-21.0
534,10680,17,-21.0,-21.0,-21.0
568,11360,18,-21.0,-21.0,-21.0
646,12920,19,-20.94736842105263,-20.94736842105263,-20.0
688,13760,20,-20.95,-20.94736842105263,-20.0
897,17940,29,-20.96551724137931,-20.94736842105263,-20.0
927,18540,30,-20.966666666666665,-20.94736842105263,-20.0
957,19140,32,-20.96875,-20.94736842105263,-20.0
958,19160,33,-20.96969696969697,-20.94736842105263,-20.0
1017,20340,34,-20.970588235294116,-20.94736842105263,-20.0
1043,20860,35,-20.97142857142857,-20.94736842105263,-20.0
1077,21540,36,-20.97222222222222,-20.94736842105263,-20.0
1180,23600,37,-20.91891891891892,-20.91891891891892,-19.0
1205,24100,38,-20.86842105263158,-20.86842105263158,-19.0
1217,24340,39,-20.871794871794872,-20.86842105263158,-19.0
1374,27480,40,-20.875,-20.86842105263158,-19.0
1394,27880,41,-20.878048780487806,-20.86842105263158,-19.0
1424,28480,42,-20.857142857142858,-20.857142857142858,-19.0
1426,28520,43,-20.86046511627907,-20.857142857142858,-19.0
1483,29660,44,-20.863636363636363,-20.857142857142858,-19.0
1484,29680,45,-20.844444444444445,-20.844444444444445,-19.0
1522,30440,47,-20.851063829787233,-20.844444444444445,-19.0
1535,30700,48,-20.833333333333332,-20.833333333333332,-19.0
1550,31000,49,-20.836734693877553,-20.833333333333332,-19.0
1567,31340,50,-20.84,-20.833333333333332,-19.0
1597,31940,51,-20.823529411764707,-20.823529411764707,-19.0
1622,32440,52,-20.826923076923077,-20.823529411764707,-19.0
1639,32780,53,-20.79245283018868,-20.79245283018868,-19.0
1663,33260,54,-20.77777777777778,-20.77777777777778,-19.0
1666,33320,55,-20.78181818181818,-20.77777777777778,-19.0
1671,33420,56,-20.75,-20.75,-19.0
1682,33640,57,-20.75438596491228,-20.75,-19.0
1871,37420,58,-20.74137931034483,-20.74137931034483,-19.0
1873,37460,59,-20.728813559322035,-20.728813559322035,-19.0
1903,38060,60,-20.733333333333334,-20.728813559322035,-19.0
2054,41080,61,-20.737704918032787,-20.728813559322035,-19.0
2079,41580,62,-20.725806451612904,-20.725806451612904,-19.0
2082,41640,63,-20.73015873015873,-20.725806451612904,-19.0
2104,42080,64,-20.734375,-20.725806451612904,-19.0
2108,42160,65,-20.73846153846154,-20.725806451612904,-19.0
2144,42880,66,-20.742424242424242,-20.725806451612904,-19.0
2180,43600,67,-20.746268656716417,-20.725806451612904,-19.0
2181,43620,68,-20.735294117647058,-20.725806451612904,-19.0
2189,43780,69,-20.71014492753623,-20.71014492753623,-19.0
2206,44120,71,-20.690140845070424,-20.690140845070424,-19.0
2233,44660,72,-20.680555555555557,-20.680555555555557,-19.0
2241,44820,73,-20.671232876712327,-20.671232876712327,-19.0
2267,45340,74,-20.64864864864865,-20.64864864864865,-19.0
2292,45840,75,-20.64,-20.64,-19.0
2294,45880,76,-20.63157894736842,-20.63157894736842,-19.0
2329,46580,77,-20.61038961038961,-20.61038961038961,-19.0
2350,47000,78,-20.615384615384617,-20.61038961038961,-19.0
2380,47600,79,-20.620253164556964,-20.61038961038961,-19.0
2414,48280,80,-20.625,-20.61038961038961,-19.0
2546,50920,81,-20.62962962962963,-20.61038961038961,-19.0
2563,51260,82,-20.634146341463413,-20.61038961038961,-19.0
2623,52460,83,-20.63855421686747,-20.61038961038961,-19.0
2641,52820,84,-20.642857142857142,-20.61038961038961,-19.0
2652,53040,85,-20.647058823529413,-20.61038961038961,-19.0
2679,53580,86,-20.651162790697676,-20.61038961038961,-19.0
2689,53780,87,-20.655172413793103,-20.61038961038961,-19.0
2690,53800,88,-20.65909090909091,-20.61038961038961,-19.0
2698,53960,89,-20.662921348314608,-20.61038961038961,-19.0
2761,55220,90,-20.666666666666668,-20.61038961038961,-19.0
2762,55240,91,-20.67032967032967,-20.61038961038961,-19.0
2795,55900,93,-20.655913978494624,-20.61038961038961,-19.0
2797,55940,94,-20.659574468085108,-20.61038961038961,-19.0
2804,56080,95,-20.66315789473684,-20.61038961038961,-19.0
2819,56380,96,-20.65625,-20.61038961038961,-19.0
2854,57080,97,-20.649484536082475,-20.61038961038961,-19.0
2889,57780,98,-20.653061224489797,-20.61038961038961,-19.0
2924,58480,99,-20.646464646464647,-20.61038961038961,-19.0
3091,61820,100,-20.64,-20.61038961038961,-19.0
3119,62380,101,-20.64,-20.61038961038961,-19.0
3126,62520,102,-20.63,-20.61038961038961,-19.0
3134,62680,103,-20.63,-20.61038961038961,-19.0
3177,63540,104,-20.63,-20.61038961038961,-19.0
3188,63760,105,-20.63,-20.61038961038961,-19.0
3201,64020,106,-20.63,-20.61038961038961,-19.0
3241,64820,107,-20.63,-20.61038961038961,-19.0
3270,65400,108,-20.63,-20.61038961038961,-19.0
3320,66400,109,-20.62,-20.61038961038961,-19.0
3322,66440,111,-20.61,-20.61,-19.0
3374,67480,112,-20.61,-20.61,-19.0
3398,67960,113,-20.61,-20.61,-19.0
3424,68480,114,-20.59,-20.59,-19.0
3476,69520,115,-20.57,-20.57,-19.0
3489,69780,116,-20.55,-20.55,-19.0
3525,70500,117,-20.55,-20.55,-19.0
3549,70980,118,-20.54,-20.54,-19.0
3575,71500,119,-20.55,-20.54,-19.0
3643,72860,120,-20.55,-20.54,-19.0
3725,74500,121,-20.54,-20.54,-19.0
3750,75000,122,-20.54,-20.54,-19.0
3769,75380,123,-20.53,-20.53,-19.0
3776,75520,124,-20.53,-20.53,-19.0
3788,75760,125,-20.52,-20.52,-19.0
3808,76160,126,-20.52,-20.52,-19.0
3854,77080,127,-20.51,-20.51,-19.0
3885,77700,128,-20.5,-20.5,-19.0
3893,77860,129,-20.5,-20.5,-19.0
4003,80060,130,-20.49,-20.49,-19.0
4021,80420,131,-20.48,-20.48,-19.0
4027,80540,132,-20.47,-20.47,-19.0
4028,80560,133,-20.47,-20.47,-19.0
4101,82020,134,-20.46,-20.46,-19.0
4123,82460,135,-20.45,-20.45,-19.0
4260,85200,136,-20.43,-20.43,-19.0
4272,85440,137,-20.45,-20.43,-19.0
4324,86480,138,-20.47,-20.43,-19.0
4331,86620,139,-20.46,-20.43,-19.0
4336,86720,140,-20.45,-20.43,-19.0
4363,87260,141,-20.45,-20.43,-19.0
4418,88360,142,-20.45,-20.43,-19.0
4442,88840,143,-20.44,-20.43,-19.0
4443,88860,144,-20.42,-20.42,-19.0
4483,89660,145,-20.43,-20.42,-19.0
4530,90600,146,-20.42,-20.42,-19.0
4545,90900,147,-20.41,-20.41,-19.0
4549,90980,148,-20.41,-20.41,-19.0
4569,91380,149,-20.39,-20.39,-19.0
4639,92780,150,-20.38,-20.38,-19.0
4711,94220,151,-20.38,-20.38,-19.0
4717,94340,152,-20.37,-20.37,-19.0
4745,94900,153,-20.38,-20.37,-19.0
4856,97120,154,-20.38,-20.37,-19.0
4926,98520,155,-20.37,-20.37,-19.0
4936,98720,156,-20.38,-20.37,-19.0
4996,99920,157,-20.38,-20.37,-19.0
5099,101980,158,-20.39,-20.37,-19.0
5113,102260,159,-20.4,-20.37,-19.0
5115,102300,160,-20.39,-20.37,-19.0
5158,103160,161,-20.38,-20.37,-19.0
5179,103580,162,-20.38,-20.37,-19.0
5220,104400,163,-20.38,-20.37,-19.0
5225,104500,164,-20.37,-20.37,-19.0
5266,105320,165,-20.36,-20.36,-19.0
5312,106240,166,-20.35,-20.35,-19.0
5316,106320,167,-20.34,-20.34,-19.0
5358,107160,168,-20.34,-20.34,-19.0
5512,110240,169,-20.35,-20.34,-19.0
5555,111100,170,-20.37,-20.34,-19.0
5641,112820,171,-20.33,-20.33,-17.0
5847,116940,172,-20.33,-20.33,-17.0
5942,118840,173,-20.34,-20.33,-17.0
5954,119080,174,-20.34,-20.33,-17.0
5999,119980,175,-20.31,-20.31,-17.0
6018,120360,176,-20.3,-20.3,-17.0
6033,120660,177,-20.29,-20.29,-17.0
6050,121000,178,-20.28,-20.28,-17.0
6062,121240,179,-20.26,-20.26,-17.0
6093,121860,180,-20.25,-20.25,-17.0
6111,122220,181,-20.24,-20.24,-17.0
6196,123920,182,-20.24,-20.24,-17.0
6248,124960,183,-20.22,-20.22,-17.0
6259,125180,184,-20.19,-20.19,-17.0
6346,126920,185,-20.14,-20.14,-16.0
6352,127040,186,-20.12,-20.12,-16.0
6427,128540,187,-20.06,-20.06,-15.0
6506,130120,188,-20.05,-20.05,-15.0
6528,130560,189,-20.03,-20.03,-15.0
6640,132800,190,-20.03,-20.03,-15.0
6656,133120,191,-20.0,-20.0,-15.0
6679,133580,192,-20.0,-20.0,-15.0
6936,138720,193,-19.98,-19.98,-15.0
7023,140460,194,-19.95,-19.95,-15.0
7133,142660,195,-19.94,-19.94,-15.0
7321,146420,196,-19.94,-19.94,-15.0
7365,147300,197,-19.93,-19.93,-15.0
7386,147720,198,-19.9,-19.9,-15.0
7397,147940,199,-19.88,-19.88,-15.0
7436,148720,200,-19.85,-19.85,-15.0
7522,150440,201,-19.84,-19.84,-15.0
7559,151180,202,-19.81,-19.81,-15.0
7567,151340,203,-19.79,-19.79,-15.0
7584,151680,204,-19.73,-19.73,-15.0
7845,156900,205,-19.7,-19.7,-15.0
7988,159760,206,-19.67,-19.67,-15.0
8138,162760,207,-19.6,-19.6,-14.0
8149,162980,208,-19.52,-19.52,-13.0
8299,165980,209,-19.46,-19.46,-13.0
8546,170920,210,-19.38,-19.38,-13.0
8628,172560,211,-19.29,-19.29,-11.0
8656,173120,212,-19.19,-19.19,-11.0
8688,173760,213,-19.12,-19.12,-11.0
9069,181380,214,-19.03,-19.03,-10.0
9073,181460,215,-18.98,-18.98,-10.0
9180,183600,216,-18.94,-18.94,-10.0
9224,184480,217,-18.85,-18.85,-10.0
9290,185800,218,-18.78,-18.78,-10.0
9338,186760,219,-18.71,-18.71,-10.0
9378,187560,220,-18.65,-18.65,-10.0
9495,189900,221,-18.57,-18.57,-10.0
9509,190180,222,-18.47,-18.47,-10.0
9725,194500,223,-18.38,-18.38,-10.0
9730,194600,224,-18.26,-18.26,-9.0
10579,211580,225,-18.14,-18.14,-8.0
10601,212020,226,-18.01,-18.01,-8.0
11073,221460,227,-17.89,-17.89,-8.0
11120,222400,228,-17.8,-17.8,-8.0
11312,226240,229,-17.66,-17.66,-7.0
11323,226460,230,-17.53,-17.53,-7.0
11461,229220,231,-17.45,-17.45,-7.0
11559,231180,232,-17.36,-17.36,-7.0
11623,232460,233,-17.25,-17.25,-7.0
11825,236500,234,-17.12,-17.12,-7.0
11915,238300,235,-16.95,-16.95,-3.0
12207,244140,236,-16.85,-16.85,-3.0
12409,248180,237,-16.72,-16.72,-3.0
12435,248700,238,-16.58,-16.58,-3.0
12709,254180,239,-16.44,-16.44,-3.0
12746,254920,240,-16.23,-16.23,1.0
12755,255100,241,-16.06,-16.06,1.0
12909,258180,242,-15.87,-15.87,1.0
12984,259680,243,-15.68,-15.68,1.0
13152,263040,244,-15.53,-15.53,1.0
13689,273780,245,-15.36,-15.36,1.0
13993,279860,246,-15.13,-15.13,3.0
14078,281560,247,-14.99,-14.99,3.0
14400,288000,248,-14.85,-14.85,3.0
14690,293800,249,-14.61,-14.61,5.0
14868,297360,250,-14.42,-14.42,5.0
14932,298640,251,-14.14,-14.14,8.0
14978,299560,252,-13.92,-13.92,8.0
15094,301880,253,-13.67,-13.67,8.0
15124,302480,254,-13.44,-13.44,8.0
15289,305780,255,-13.23,-13.23,8.0
15548,310960,256,-13.04,-13.04,8.0
15558,311160,257,-12.74,-12.74,9.0
15636,312720,258,-12.47,-12.47,9.0
15672,313440,259,-12.19,-12.19,9.0
15747,314940,260,-11.91,-11.91,9.0
15777,315540,261,-11.63,-11.63,9.0
15803,316060,262,-11.34,-11.34,9.0
16054,321080,263,-11.02,-11.02,11.0
16126,322520,264,-10.71,-10.71,11.0
16284,325680,265,-10.47,-10.47,11.0
16734,334680,266,-10.19,-10.19,11.0
16771,335420,267,-9.9,-9.9,11.0
16780,335600,268,-9.57,-9.57,13.0
16998,339960,269,-9.21,-9.21,16.0
17315,346300,270,-8.89,-8.89,16.0
17317,346340,271,-8.57,-8.57,16.0
17327,346540,272,-8.17,-8.17,20.0
17390,347800,273,-7.84,-7.84,20.0
17449,348980,274,-7.46,-7.46,20.0
17463,349260,275,-7.17,-7.17,20.0
17519,350380,276,-6.84,-6.84,20.0
17677,353540,277,-6.51,-6.51,20.0
17767,355340,278,-6.18,-6.18,20.0
17784,355680,279,-5.85,-5.85,20.0
17924,358480,280,-5.54,-5.54,20.0
18063,361260,281,-5.22,-5.22,20.0
18120,362400,282,-4.87,-4.87,20.0
18224,364480,283,-4.52,-4.52,20.0
18305,366100,284,-4.26,-4.26,20.0
18325,366500,285,-3.98,-3.98,20.0
18662,373240,286,-3.62,-3.62,20.0
18845,376900,287,-3.36,-3.36,20.0
18863,377260,288,-3.01,-3.01,20.0
19116,382320,289,-2.67,-2.67,20.0
19131,382620,290,-2.29,-2.29,20.0
19371,387420,291,-1.96,-1.96,20.0
19434,388680,292,-1.63,-1.63,20.0
19575,391500,293,-1.33,-1.33,20.0
19592,391840,294,-1.02,-1.02,20.0
19606,392120,295,-0.7,-0.7,20.0
19658,393160,296,-0.39,-0.39,20.0
19759,395180,297,-0.05,-0.05,20.0
19812,396240,298,0.23,0.23,20.0
19960,399200,299,0.56,0.56,20.0
20016,400320,300,0.91,0.91,20.0
20112,402240,301,1.2,1.2,20.0
20174,403480,302,1.49,1.49,20.0
20271,405420,303,1.83,1.83,20.0
20279,405580,304,2.07,2.07,20.0
20512,410240,305,2.39,2.39,20.0
20612,412240,306,2.74,2.74,20.0
20875,417500,307,3.05,3.05,20.0
21018,420360,308,3.34,3.34,20.0
21165,423300,309,3.63,3.63,20.0
21191,423820,310,3.88,3.88,20.0
21283,425660,311,4.16,4.16,20.0
21526,430520,312,4.42,4.42,20.0
21617,432340,313,4.71,4.71,20.0
21640,432800,314,4.97,4.97,20.0
21684,433680,315,5.3,5.3,20.0
21700,434000,316,5.6,5.6,20.0
21839,436780,317,5.83,5.83,20.0
21840,436800,318,6.15,6.15,20.0
22010,440200,319,6.39,6.39,20.0
22027,440540,320,6.69,6.69,20.0
22212,444240,321,6.95,6.95,20.0
22236,444720,322,7.18,7.18,20.0
22274,445480,323,7.43,7.43,20.0
22420,448400,324,7.64,7.64,20.0
22599,451980,325,7.83,7.83,20.0
22785,455700,326,8.08,8.08,20.0
22881,457620,327,8.34,8.34,20.0
23128,462560,328,8.57,8.57,20.0
23322,466440,329,8.77,8.77,20.0
23402,468040,330,8.98,8.98,20.0
23413,468260,331,9.29,9.29,20.0
23428,468560,332,9.53,9.53,20.0
23485,469700,333,9.78,9.78,20.0
23655,473100,334,10.01,10.01,20.0
23745,474900,335,10.17,10.17,20.0
23971,479420,336,10.43,10.43,20.0
23985,479700,337,10.63,10.63,20.0
23989,479780,338,10.77,10.77,20.0
24096,481920,339,10.97,10.97,20.0
24139,482780,340,11.12,11.12,20.0
24190,483800,341,11.34,11.34,20.0
24213,484260,342,11.5,11.5,20.0
24320,486400,343,11.68,11.68,20.0
24426,488520,344,11.91,11.91,20.0
24579,491580,345,12.06,12.06,20.0
24683,493660,346,12.2,12.2,20.0
25093,501860,347,12.38,12.38,20.0
25172,503440,348,12.6,12.6,20.0
25395,507900,349,12.71,12.71,20.0
25471,509420,350,12.88,12.88,20.0
25519,510380,351,12.94,12.94,20.0
25558,511160,352,13.05,13.05,20.0
25603,512060,353,13.13,13.13,20.0
25664,513280,354,13.24,13.24,20.0
25764,515280,355,13.36,13.36,20.0
